"words","Outbreak","Emotional.Effect","Symptom","Hospital.Related","Immune.Reaction","Disease.Relations","Policy","Psychological.Problem","Analysis.of.Transmission","Cardiovascular.System","Protective.Equipment","Anosmia","Respiratory.System","Treatment","Diagnosis","Virus.Analysis","Virus.Defense.Mechanism","Literature.Analysis","Microbiome.","Immune.System"
"18f-fdg",0.00182668,9.76e-08,1.32e-07,3.23e-08,4.97e-05,3.9e-08,1.51e-07,1.01e-07,0.0003841,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"abbott",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.0019028,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"acid",0.00302196,0.0112763,0.00900313,0.000109934,0.00490066,0.00102244,0.00286979,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.000174251,0.0131155,1.47e-05,3.14e-08,0.000208829,0.000512919,0.000958513,0.00714097
"acral",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,0.00177825,6.75e-08,3e-08,4.77e-08,5.81e-08,3.55e-05,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"acut",0.00933507,0.0150155,0.00244948,0.0115979,0.0179935,0.0221065,0.0038062,0.0120585,0.0223231,0.0342837,0.00354037,0.00055335,0.00392521,0.0274965,4.89e-08,0.0163737,0.0108025,0.00965159,0.0461159,0.0178978
"adm",8.42e-08,0.0014743,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,2.03e-05,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"adsorpt",8.42e-08,9.76e-08,0.00181397,3.23e-08,4.97e-05,9.37e-05,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.000220881,4.04e-08,9.11e-08
"advers",8.42e-08,0.000566347,0.00121818,0.00132855,0.00574948,0.00172875,0.000966766,0.00425425,0.000576109,0.00129608,0.00211465,0.00114004,0.000627154,8.85e-08,0.00179558,3.14e-08,0.00507078,0.000363339,4.04e-08,0.000191365
"aerosol",8.42e-08,9.76e-08,0.000291406,0.00243402,2.16e-08,0.000234176,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.000876831,8.85e-08,4.89e-08,0.000304876,0.000513245,0.01431,0.00150852,0.000154932
"aerosol-gener",8.42e-08,9.76e-08,1.32e-07,0.000552771,0.000295918,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,9.74e-05,4.89e-08,3.14e-08,8.7e-08,0.00281361,4.04e-08,9.11e-08
"affin",8.42e-08,0.0106514,0.000384084,3.23e-08,2.16e-08,0.00087415,1.51e-07,1.01e-07,0.000392448,0.000155319,3e-08,0.000147913,5.81e-08,0.00046028,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000149675,0.0044176
"ageusia",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000183607,3.9e-08,1.51e-07,2.02e-05,0.00262142,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"agricultur",8.42e-08,9.76e-08,0.00120494,3.23e-08,6.48e-05,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,0.00243267,0.000447154,8.85e-08,0.000146823,3.14e-08,8.7e-08,7.12e-08,4.04e-08,2.74e-05
"aim",0.00319873,0.0031047,0.00315118,0.00749595,0.00139959,0.0018224,0.00240159,0.0074524,0.00237097,0.00305785,0.00442695,0.00349157,0.00393683,0.0050445,0.0107537,0.0107985,0.00412274,0.00324099,0.00286737,0.00129346
"air",0.0058839,9.76e-08,0.00364105,3.23e-08,0.000257041,0.000690743,1.51e-07,0.000442612,8.35e-08,0.000303821,0.000167762,0.000949247,0.00967359,8.85e-08,4.89e-08,0.00106542,0.000939426,0.0113753,0.000776525,9.11e-08
"airborn",8.42e-08,9.76e-08,1.32e-07,0.00015842,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.000155319,0.000194719,4.77e-08,0.000563283,8.85e-08,4.89e-08,0.000188595,8.7e-08,0.00693064,0.00149639,0.000437288
"alanin",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.00709873,0.000130843,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00141426,8.7e-08,7.12e-08,0.000206294,9.11e-08
"alb",8.42e-08,9.76e-08,1.32e-07,3.23e-08,3.46e-05,3.9e-08,0.00184276,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.15e-05,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"albumin",8.42e-08,9.76e-08,0.000437042,3.23e-08,0.000840194,6.64e-05,0.00564881,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,9.12e-05,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"align",0.000134764,0.000956863,1.32e-07,3.23e-08,8.43e-05,3.9e-08,1.51e-07,0.000291756,8.35e-08,6.75e-08,0.000269599,0.000343477,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.00305136
"allel",8.42e-08,9.76e-08,1.32e-07,3.23e-08,7.13e-05,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,1.91e-05,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,0.00347034
"alt",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000403909,3.9e-08,0.0051806,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000729145,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"amino",8.42e-08,0.00610192,0.00161538,3.23e-08,2.16e-08,0.000300515,0.000634492,0.000231413,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000262913,0.00764192
"aminotransferas",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.00100002,3.9e-08,0.00925851,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,7.23e-05,8.7e-08,1.43e-05,0.000319531,9.11e-08
"amplif",0.000193686,9.76e-08,0.00096663,3.23e-08,2.18e-06,0.000199055,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,0.000505651,5.81e-08,0.00677021,4.89e-08,0.000223165,0.00034799,0.000270741,0.000461078,9.11e-08
"amsbsi",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.00144006,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"amsfont",8.42e-08,9.76e-08,1.32e-07,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,0.00141102,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"analog",8.42e-08,0.00278253,0.000264926,3.23e-08,0.00013825,0.000160033,1.51e-07,1.01e-07,8.35e-08,6.75e-08,2.1e-05,0.000305318,0.000325219,8.85e-08,0.000234887,3.14e-08,0.000365386,0.000106915,0.000218427,9.11e-08
"ancestor",8.42e-08,9.76e-08,1.32e-07,3.23e-08,1.95e-05,3.13e-05,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,2.91e-05,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.00029931,0.00191283
"angiographi",0.000774492,9.76e-08,1.32e-07,2.91e-05,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.00216009,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"angiotensin",8.42e-08,0.00280205,1.32e-07,3.23e-08,0.00191795,0.00663392,1.51e-07,1.01e-07,0.000484279,0.000864078,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,7.12e-08,0.000760348,0.00143009
"anosmia",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000876911,3.9e-08,1.51e-07,1.01e-07,0.00783069,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,0.00044037,3.14e-08,8.7e-08,7.12e-08,4.04e-08,1.83e-05
"antibiot",0.00192769,0.000751842,0.00627575,0.000662673,0.00109937,0.000253687,1.51e-07,0.001921,0.000167047,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000318683,4.89e-08,0.00127912,0.00287899,7.12e-08,0.000889762,9.11e-08
"antifung",8.42e-08,9.76e-08,0.00223764,3.23e-08,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,0.000362932,4.89e-08,9.46e-06,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"antimalari",8.42e-08,0.000995915,0.000317885,3.23e-08,8.66e-06,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.000465823,3e-08,6.68e-05,5.81e-08,8.85e-08,4.89e-08,7.23e-05,0.0028442,7.12e-08,0.000663287,9.11e-08
"antimicrobi",8.42e-08,0.00110331,0.00658026,3.23e-08,0.000751641,0.000171739,1.51e-07,0.000291756,8.35e-08,6.75e-08,0.000347474,0.000128834,5.81e-08,8.85e-08,4.89e-08,3.14e-08,8.7e-08,0.000498674,0.000194161,9.11e-08
"anxiou",8.42e-08,9.76e-08,1.32e-07,0.00015842,2.16e-08,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.000101867,4.77e-08,5.81e-08,8.85e-08,0.00168795,3.14e-08,8.7e-08,7.12e-08,4.04e-08,9.11e-08
"arrhythmia",8.42e-08,9.86e-06,1.32e-07,0.000139025,0.000591814,3.9e-08,0.000151185,1.01e-07,8.35e-08,0.00487362,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,3.14e-08,0.00350521,0.000149652,4.04e-08,9.11e-08
"arthriti",0.000151599,9.76e-08,1.32e-07,4.85e-05,2.16e-08,0.000776593,1.51e-07,1.01e-07,0.000743072,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,0.000239779,3.14e-08,0.00244411,7.12e-08,4.04e-08,9.11e-08
"articl",0.00232331,0.00354404,0.00323062,0.0104148,0.00825919,0.00449937,0.00376089,0.0244991,0.0129314,0.00300385,0.00877899,0.014405,0.00822779,0.00244264,0.00321439,0.00427729,0.00328777,0.00737226,0.010426,0.00447225
"artifici",0.000858667,0.000224645,0.00127114,0.000417011,0.000449265,0.000199055,1.51e-07,1.01e-07,8.35e-08,0.00018907,3e-08,0.00354404,0.000749089,8.85e-08,9.83e-06,3.14e-08,8.7e-08,0.00044169,4.04e-08,9.11e-08
"aspart",8.42e-08,0.000136778,1.32e-07,3.23e-08,2.16e-08,3.9e-08,0.00992306,0.000362155,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.0013954,8.7e-08,7.12e-08,0.000525785,0.000255122
"ast",8.42e-08,9.76e-08,1.32e-07,3.23e-08,0.000196566,3.9e-08,0.0074008,1.01e-07,8.35e-08,6.75e-08,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.00133255,0.000174039,7.12e-08,4.04e-08,9.11e-08
"asymptomat",0.00632161,9.76e-08,1.32e-07,0.00216897,0.0054687,0.00087415,1.51e-07,0.00292671,0.00235427,0.000614325,0.000937531,4.77e-08,0.00364651,0.00612418,4.89e-08,0.0014614,0.000878543,0.00205859,0.00763547,9.11e-08
"atrial",8.42e-08,9.76e-08,1.32e-07,6.5e-06,0.000231123,3.9e-08,1.51e-07,1.01e-07,8.35e-08,0.0024706,3e-08,4.77e-08,5.81e-08,8.85e-08,4.89e-08,0.000119455,0.000982914,7.12e-08,4.04e-08,9.11e-08
"attitud",8.42e-08,9.76e-08,1.32e-07,0.000106701,0.000416868,3.9e-08,1.51e-07,1.01e-07,8.35e-08,6.75e-08,0.00153358,0.0010351,0.000464574,8.85e-08,0.00525944,3.14e-08,8.7e-08,0.000541411,4.04e-08,9.11e-08
